id,count,speed,options,drumId,drumOptions,active,sum
D1,1,0.42,,,,1,1
D1,1,0.42,,B1,"only=r,ra",1,2
D2,2,0.422,,B2,"only=r,ra",1,4
D1,2,0.42,,B1,,1,6
D2,1,0.422,,B2,,1,7
D2,1,0.422,,A1,only=h,1,8
C1,2,1,,A1,"only=h,sa&speed=0.5",1,10
B1,2,1,,A3,"only=h,sa&speed=0.5",1,12
C2,2,1,,A2,speed=0.5,1,14
B3,2,1,,A4,speed=0.5,1,16
C1,1,1,,A1,,1,17
C2,1,1,,A2,,1,18
C1,1,1,,A1,,1,19
B3,1,1,,C1,,1,20
D1,1,0.42,,B1,,1,21
D2,1,0.422,,B2,,1,22
C1,2,1,,A1,"only=h,sa&speed=0.5",1,24
C2,2,1,,A2,"only=h,sa&speed=0.5",1,26
B1,1,1,,A1,"only=h,sa",1,27
C1,2,1,,A1,"only=h,sa",1,29
C2,2,1,,A2,,1,31
C1,2,1,,A1,,1,33
B6,1,1,,C1,volume=1.2,1,34
A1,2,1.02,,A3,volume=1.2,1,36
A2,2,1.04,,A4,volume=1.2,1,38
A3,2,1.06,,A3,speed=0.5&volume=1.2,1,40
A2,2,1.08,,A4,volume=1.2,1,42
A1,2,1.06,,A3,volume=1.2,1,44
A4,2,1.04,,A4,volume=1.2,1,46
A4,1,1.02,,C3,volume=1.2,1,47
D1,1,0.42,,B1,,1,48
D2,1,0.422,,B2,,1,49
C1,2,1,,A1,only=h,1,51
B1,1,1,,A1,only=h,1,52
C2,2,1,,A2,"only=h,sa",1,54
B3,1,1,,A2,"only=h,sa",1,55
C1,2,1,,A1,,1,57
C2,2,1,,A1,,1,59
B6,1,1,,C1,,1,60
