id,count,speed,options,drumId,drumOptions,active,sum
A1,2,1,,,,1,2
A1,2,1,,A1,"speed=0.5&except=h,hc,ho,hb",1,4
A1,1,1,,A2,"speed=0.5&except=h,hc,ho,hb",1,5
A2,1,1,,,,1,6
A3,2,1,,A3,speed=0.5,1,8
A1,2,1,,A4,speed=0.5,1,10
A4,1,1,,A5,"except=h,hc,ho,hb&drop=2,4,6,8,10,12,14",1,11
,1,1,,A5,"except=h,hc,ho,hb",1,12
B1,2,1,,B1,,1,14
B2,2,1,,B2,,1,16
B1,1,1,,B3,,1,17
B1,1,1,,B4,,1,18
B3,2,1,,B1,speed=0.5,1,20
B4,1,1,,B2,speed=0.5,1,21
A1,2,1,,A1,"except=h,hc,ho,hb",1,23
A2,2,1,,A2,"except=h,hc,ho,hb",1,25
A3,3,1,,A3,,1,28
A1,2,1,,A4,speed=0.5,1,30
A1,1,1,,A5,speed=0.5,1,31
A4,1,1,,A1,,1,32
C1,2,1,,C1,,1,34
C2,2,1,,C2,,1,36
A4,1,1,,A1,"speed=0.5&except=h,hc,ho,hb",1,37
,1,1,,A2,,1,38
A3,2,1,,A3,"except=h,hc,ho,hb",1,40
B3,2,1,,B1,speed=0.5,1,42
B3,2,1,,B4,,1,44
A4,1,1,,,,1,45
