id,category,itemId,filename,start,dur,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,nstretch,stretch,nvol,nclip,nswing,fadeout,buzz,active
A1,primary,00694057_25_00-00-52,00694057.wav,52547,1000,1,,,,,,,,,,,,,,,,,,,,,,,1
A1,primary,00694057_26_00-02-38,00694057.wav,158383,720,,,,,1,,,,,,,,,,,,,,,,,,,1
A1,primary,00694057_27_00-02-39,00694057.wav,159103,674,,,,,,,,,1,,,,,,,,,,,,,,,1
A1,primary,00694057_28_00-02-39,00694057.wav,159777,859,,,,,,,,,,,,,1,,,,,,,,,,,1
A2,alt,00694057_24_00-00-52,00694057.wav,52106,441,1,,,,,,,,,,,,,,,,,,,,,,,1
A2,alt,00694057_25_00-00-52,00694057.wav,52547,1000,,,,,1,,,,,,,,,,,,,,,,,,,1
A2,alt,00694057_26_00-02-38,00694057.wav,158383,720,,,,,,,,,1,,,,,,,,,,,,,,,1
A2,alt,00694057_27_00-02-39,00694057.wav,159103,674,,,,,,,,,,,,,1,,,,,,,,,,,1
A3,alt,00694057_23_00-00-51,00694057.wav,51037,1400,1,,,,,,,,,,,,,,,,,,,,,100,,1
A3,alt,00694057_24_00-00-52,00694057.wav,52106,441,,,,,,,,,,,,,,,,,,,,,,,,1
A3,alt,00694057_25_00-00-52,00694057.wav,52547,1000,,,,,,,,,1,,,,,,,,,,,,,,,1
A3,alt,00694057_26_00-02-38,00694057.wav,158383,720,,,,,,,,,,,,,1,,,,,,,,,,,1
A4,bridge,00694057_19_00-00-48,00694057.wav,48181,1000,1,,,,,,,,,,,,,,,,,,,,,,,1
A4,bridge,00694057_20_00-00-49,00694057.wav,49226,209,,,,,1,,,,,,,,,,,,,,,,,,,1
A4,bridge,00694057_21_00-00-49,00694057.wav,49435,325,,,,,,,,,1,,,,,,,,,,,,,,,1
A4,bridge,00694057_22_00-00-49,00694057.wav,49760,1000,,,,,,,1,,,,,,1,,,,,,,,,,,1
B1,primary,00694057_29_00-02-40,00694057.wav,160636,952,1,,,,,,,,,,,,,,,,,,,,,,,1
B1,primary,00694057_31_00-02-41,00694057.wav,161866,1000,,,,,1,,,,,,,,,,,,,,,,,,,1
B1,primary,00694057_32_00-02-43,00694057.wav,163677,418,,,,,,,,,1,,,,,,,,,,,,,,,1
B1,primary,00694057_33_00-02-44,00694057.wav,164095,302,,,,,,,,,,,,,1,,,,,,,,,,,1
B2,alt,00694057_31_00-02-41,00694057.wav,161866,1000,1,,,,,,,,,,,,,,,,,,,,,,,1
B2,alt,00694057_32_00-02-43,00694057.wav,163677,418,,,,,1,,,,,,,,,,3,,,,,,,,,1
B2,alt,00694057_33_00-02-44,00694057.wav,164095,302,,,,,,,,,1,,,,,,,,,,,,,,,1
B2,alt,00694057_34_00-02-44,00694057.wav,164537,162,,,,,,,,,,,,,1,,,,,,,,,,,1
B3,alt,00694057_42_00-02-49,00694057.wav,169784,743,1,,,,,,,,,,1,,,,,,,,,,,,,1
B3,alt,00694057_43_00-02-50,00694057.wav,170527,302,,,,,1,,,,,,,,,,,,,,,,,,,1
B3,alt,00694057_44_00-02-50,00694057.wav,170829,209,,,,,,,1,,1,,,,,,,,,,,,,,,1
B3,alt,00694057_45_00-02-51,00694057.wav,171038,1000,,,,,,,,,,,,,1,,,,,,,,,,,1
B4,alt,00694057_26_00-02-38,00694057.wav,158383,720,1,,,,,,,,,,,,,,,,,,,,,,,1
B4,alt,00694057_27_00-02-39,00694057.wav,159103,674,,,,,1,,,,,,,,,,,,,,,,,,,1
B4,alt,00694057_28_00-02-39,00694057.wav,159777,859,,,,,,,,,1,,,,,,,,,,,,,,,1
B4,alt,00694057_29_00-02-40,00694057.wav,160636,952,,,,,,,,,,,,,1,,,,,,,,,,,1
C1,primary,00694057_10_00-00-07,00694057.wav,7338,487,1,,,,,,,,,,,,,,,,,,,,,,,1
C1,primary,00694057_11_00-00-07,00694057.wav,7825,1000,,,,,1,,,,,,,,,,,,,,,,,,,1
C1,primary,00694057_12_00-00-10,00694057.wav,10333,1000,,,,,,,,,1,,,,,,,,,,,,,,,1
C1,primary,00694057_13_00-00-13,00694057.wav,13305,836,,,,,,,,,,,,,1,,,,,,,,,,,1
C2,alt,00694057_11_00-00-07,00694057.wav,7825,1000,1,,,,,,,,,,,,,,,,,,,,,,,1
C2,alt,00694057_12_00-00-10,00694057.wav,10333,1000,,,,,1,,,,,,,,,,,,,,,,,,,1
C2,alt,00694057_13_00-00-13,00694057.wav,13305,836,,,,,,,,,1,,,,,,,,,,,,,,,1
C2,alt,00694057_14_00-00-14,00694057.wav,14141,441,,,,,,,,,,,,,1,,1,,,,,,,,,1
