id,category,itemId,filename,start,dur,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,nstretch,nvol,nclip,nswing,buzz,fill,active
A1,primary,00694035_27_00-00-44,00694035.wav,44954,162,1,,,,,,,,,,1,,,,,,,,,,,0,1
A1,primary,00694035_28_00-00-45,00694035.wav,45116,558,,,,,1,,,,,,,,,,1,,,,,,,0,1
A1,primary,00694035_29_00-00-45,00694035.wav,45674,116,,,1,,,,,,1,,,,,,,,,,,,,0,1
A1,primary,00694035_30_00-00-45,00694035.wav,45790,139,,,,,,,,,,,,,1,,,,,,,,,0,1
A2,alt,00694035_26_00-00-44,00694035.wav,44536,418,1,,,,,,,,,,,,,,,,,,,,,0,1
A2,alt,00694035_27_00-00-44,00694035.wav,44954,162,,,,,1,,,,,,,,,,1,,,,,,,0,1
A2,alt,00694035_28_00-00-45,00694035.wav,45116,558,,,,,,,,,1,,,,,,,,,,,,,0,1
A2,alt,00694035_29_00-00-45,00694035.wav,45674,116,,,,,,,1,,,,,,1,,,,,,,,,0,1
A3,alt,00694035_25_00-00-44,00694035.wav,44188,278,1,,,,,,,,,,1,,,,,,,,,,,0,1
A3,alt,00694035_26_00-00-44,00694035.wav,44536,418,,,,,1,,,,,,,,,,,,,,,,,0,1
A3,alt,00694035_27_00-00-44,00694035.wav,44954,162,,,,,,,,,1,,,,,,,,,,,,,0,1
A3,alt,00694035_28_00-00-45,00694035.wav,45116,558,,,,,,,,,,,,,1,,,,,,,,,0,1
A4,secondary,00694035_28_00-00-45,00694035.wav,45116,558,1,,,,,,,,,,1,,,,,,,0.8,,,,0,1
A4,secondary,00694035_29_00-00-45,00694035.wav,45674,116,,,,,,,,,,,,,,,,,,,,,,0,1
A4,secondary,00694035_30_00-00-45,00694035.wav,45790,139,,,,,,,,,1,,,,,,,,,,,,,0,1
