id,count,speed,options,drumId,drumOptions,active,sum
B1,4,1,,,,1,4
B1,1,1,,A1,except=h,1,5
B1,1,1,,A2,except=h,1,6
B1,1,1,,A3,except=h,1,7
B2,2,1,,A1,,1,9
B3,1,1,,A2,,1,10
B4,2,1,,A3,,1,12
C1,2,1,,B1,,1,14
C2,2,1,,B2,,1,16
C4,2,1,,A1,,1,18
B3,2,1,,A2,,1,20
B4,2,1,,A3,,1,22
A1,4,1,,A1,,1,26
C3,1,1,,B1,,1,27
C4,2,1,,A3,,1,29
B2,1,1,,A4,,1,30
B3,1,1,,A1,,1,31
B4,2,1,,A2,,1,33
A3,4,1,,A1,,1,37
C2,1,1,,A2,,1,38
C4,1,1,,A3,,1,39
B1,4,1,,A1,except=h,1,43
D1,1,0.44,,A1,"drop=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,44
B2,3,1,,A3,,1,47
B3,2,1,,A4,,1,49
B4,2,1,,A1,,1,51
A1,4,1,,A2,,1,55
C3,1,1,,B1,,1,56
C4,2,1,,A2,,1,58
B3,1,1,,A1,,1,59
B4,1,1,,A1,"except=h,k",1,60
B4,1,1,,A1,"except=h,k,sa",1,61
B4,2,1,,,,1,63
