id,count,speed,options,drumId,drumOptions,active,sum
C4,2,1,,A3,only=k,1,2
C3,2,1,,A3,only=k,1,4
C1,2,1,,A2,"only=k,sa",1,6
C2,2,1,,A3,"only=k,sa",1,8
C1,1,1,,A1,"only=k,sa",1,9
C2,1,1,,C5,except=c,1,10
A1,1,1,volume=1.2,B1,"volume=1.2&only=h,ha",1,11
A1,1,1,volume=1.2,B1,"volume=1.2&only=h,ha,sg",1,12
A1,1,1,volume=1.2,B2,"volume=1.2&only=h,ha,sa,sg",1,13
A3,1,1,volume=1.2,B3,volume=1.2,1,14
A1,2,1,volume=1.2,B1,volume=1.2&drop=1,1,16
A4,1,1,volume=1.2,B3,volume=1.2&drop=1,1,17
A5,1,1,volume=1.5,C5,,1,18
C3,2,1,,A3,"only=k,sa",1,20
C1,2,1,,A2,"only=k,sa",1,22
C2,2,1,,A3,"only=k,sa",1,24
C2,1,1,,A1,,1,25
C1,1,1,,A1,"drop=1,11,13,15,16",1,26
A1,2,1,volume=1.2,B1,volume=1.2,1,28
A1,2,1,volume=1.2,B2,volume=1.2,1,30
A5,1,1,volume=1.5,C2,volume=1.2,1,31
A1,3,1,volume=1.2,B1,volume=1.2,1,34
A5,1,1,volume=1.5,C2,volume=1.2,1,35
B1,2,1,,C1,,1,37
B2,2,1,,C2,,1,39
B1,2,1,,C3,,1,41
B1,1,1,,C2,,1,42
B4,1,1,volume=1.5,,,1,43
A1,2,1,volume=1.2,B1,volume=1.2,1,45
A1,1,1,volume=1.2&drop=1,B2,,1,46
A3,2,1,volume=1.2,B4,drop=1,1,48
A1,2,1,volume=1.2,B1,,1,50
A4,2,1,volume=1.2,B2,,1,52
B4,1,1,volume=1.5,C5,,1,53
