id,category,itemId,filename,start,dur,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,nstretch,stretch,nvol,nclip,nswing,buzz,active
A1,primary,00694032_14_00-00-37,00694032.wav,37941,186,1,,,,,,,,,,1,,,,,,,,,,,,1
A1,primary,00694032_15_00-00-38,00694032.wav,38127,325,,,,,1,,,,,,,,,,1,,,,,,,,1
A1,primary,00694032_16_00-00-38,00694032.wav,38452,372,,,1,,,,,,1,,,,,,,,,,,,,,1
A1,primary,00694032_17_00-01-17,00694032.wav,77067,255,,,,,,,1,,,,,,1,,,,,,,,,,1
A2,alt,00694032_14_00-00-37,00694032.wav,37941,186,1,,,,,,,,,,,,,,1,,,,,,,,1
A2,alt,00694032_15_00-00-38,00694032.wav,38127,325,,,,,1,,,,,,1,,,,,,,,,,,,1
A2,alt,00694032_16_00-00-38,00694032.wav,38452,372,,,1,,,,,,1,,,,,,,,,,,,,,1
A2,alt,00694032_17_00-01-17,00694032.wav,77067,255,,,,,,,1,,,,,,1,,,,,,,,,,1
A3,alt,00694032_16_00-00-38,00694032.wav,38452,372,1,,,,,,,,,,1,,,,,,,,,,,,1
A3,alt,00694032_17_00-01-17,00694032.wav,77067,255,,,,,1,,,,,,,,,,1,,,,,,,,1
A3,alt,00694032_18_00-01-17,00694032.wav,77322,395,,,1,,,,,,1,,,,,,,,,,,,,,1
A3,alt,00694032_19_00-01-17,00694032.wav,77787,302,,,,,,,1,,,,,,1,,,,,,,,,,1
A4,alt,00694032_12_00-00-37,00694032.wav,37222,557,1,,,,,,,,,,1,,,,,,,,,,,,1
A4,alt,00694032_13_00-00-37,00694032.wav,37779,162,,,,,1,,,,,,,,,,,,,,,,,,1
A4,alt,00694032_14_00-00-37,00694032.wav,37941,186,,,,,,,,,1,,,,,,,,,,,,,,1
A4,alt,00694032_15_00-00-38,00694032.wav,38127,325,,,,,,,1,,,,,,1,,,,,,,,,,1
A5,alt,00694032_13_00-00-37,00694032.wav,37779,162,1,,,,,,,,,,,,,,,,,,,,,,1
A5,alt,00694032_14_00-00-37,00694032.wav,37941,186,,,,,1,,,,,,,,,,1,,,,,,,,1
A5,alt,00694032_15_00-00-38,00694032.wav,38127,325,,,1,,,,,,1,,,,,,,,,,,,,,1
A5,alt,00694032_16_00-00-38,00694032.wav,38452,372,,,,,,,1,,,,,,1,,,,,,,,,,1
B1,intro,00694032_17_00-01-17,00694032.wav,77067,255,1,,,,,,,,,,,,,,,,,,,,,,1
B1,intro,00694032_18_00-01-17,00694032.wav,77322,395,,,,,1,,,,,,,,,,1,,,,,,,,1
B1,intro,00694032_19_00-01-17,00694032.wav,77787,302,,,,,,,,,1,,,,,,,,,,,,,,1
B1,intro,00694032_20_00-01-18,00694032.wav,78158,233,,,,,,,,,,,,,1,,,,,,,,,,1
B2,primary,00694032_17_00-01-17,00694032.wav,77067,255,1,,,,,,,,,,1,,,,,,,,,,,,1
B2,primary,00694032_18_00-01-17,00694032.wav,77322,395,,,,,1,,,,,,,,,,1,,,,,,,,1
B2,primary,00694032_19_00-01-17,00694032.wav,77787,302,,,1,,,,,,1,,,,,,,,,,,,,,1
B2,primary,00694032_20_00-01-18,00694032.wav,78158,233,,,,,,,1,,,,,,1,,,,,,,,,,1
B3,alt,00694032_21_00-01-18,00694032.wav,78391,162,1,,,,,,,,,,1,,,,,,,,,,,,1
B3,alt,00694032_22_00-01-18,00694032.wav,78623,186,,,,,1,,,,,,,,,,1,,,,,,,,1
B3,alt,00694032_23_00-01-18,00694032.wav,78809,209,,,1,,,,,,1,,,,,,,,,,,,,,1
B3,alt,00694032_24_00-01-19,00694032.wav,79018,92,,,,,,,1,,,,,,1,,,,,,,,,,1
B4,alt,00694032_19_00-01-17,00694032.wav,77787,302,1,,,,,,,,,,1,,,,,,,,,,,,1
B4,alt,00694032_20_00-01-18,00694032.wav,78158,233,,,,,1,,,,,,,,,,1,,,,,,,,1
B4,alt,00694032_21_00-01-18,00694032.wav,78391,162,,,1,,,,,,1,,,,,,,,,,,,,,1
B4,alt,00694032_22_00-01-18,00694032.wav,78623,186,,,,,,,1,,,,,,1,,,,,,,,,,1
B5,alt,00694032_20_00-01-18,00694032.wav,78158,233,1,,,,,,,,,,1,,,,,,,,,,,,1
B5,alt,00694032_21_00-01-18,00694032.wav,78391,162,,,,,1,,,,,,,,,,1,,,,,,,,1
B5,alt,00694032_22_00-01-18,00694032.wav,78623,186,,,1,,,,,,1,,,,,,,,,,,,,,1
B5,alt,00694032_23_00-01-18,00694032.wav,78809,209,,,,,,,1,,,,,,1,,,,,,,,,,1
B6,fill,00694032_25_00-01-19,00694032.wav,79110,163,1,,,,,,,,,,1,,,,,,,,,,,,1
B6,fill,00694032_26_00-01-19,00694032.wav,79273,139,,,,,1,,,,,,,,,,1,,,,,,,,1
B6,fill,00694032_27_00-01-19,00694032.wav,79412,93,,,1,,,,,,1,,,,,,,,,,,,,,1
B6,fill,00694032_28_00-01-19,00694032.wav,79505,302,,,,,,,1,,,,,,1,,,,,,,,,,1
C1,primary,00694032_34_00-01-46,00694032.wav,106138,325,1,,,,,,,,,,1,,,,,,,,,,,,1
C1,primary,00694032_35_00-01-46,00694032.wav,106533,209,,,,,1,,,,,,,,,,1,,,,,,,,1
C1,primary,00694032_36_00-01-46,00694032.wav,106742,186,,,1,,,,,,1,,,,,,,,,,,,,,1
C1,primary,00694032_37_00-01-46,00694032.wav,106928,209,,,,,,,1,,,,,,1,,,,,,,,,,1
C2,secondary,00694032_35_00-01-46,00694032.wav,106533,209,1,,,,,,,,,,1,,,,,,,,,,,,1
C2,secondary,00694032_36_00-01-46,00694032.wav,106742,186,,,,,1,,,,,,,,,,1,,,,,,,,1
C2,secondary,00694032_37_00-01-46,00694032.wav,106928,209,,,1,,,,,,1,,,,,,,,,,,,,,1
C2,secondary,00694032_38_00-01-47,00694032.wav,107137,232,,,,,,,1,,,,,,1,,,,,,,,,,1
C3,alt,00694032_36_00-01-46,00694032.wav,106742,186,1,,,,,,,,,,1,,,,,,,,,,,,1
C3,alt,00694032_37_00-01-46,00694032.wav,106928,209,,,,,1,,,,,,,,,,1,,,,,,,,1
C3,alt,00694032_38_00-01-47,00694032.wav,107137,232,,,1,,,,,,1,,,,,,,,,,,,,,1
C3,alt,00694032_39_00-01-47,00694032.wav,107369,93,,,,,,,1,,,,,,1,,,,,,,,,,1
C4,alt,00694032_37_00-01-46,00694032.wav,106928,209,1,,,,,,,,,,1,,,,,,,,,,,,1
C4,alt,00694032_38_00-01-47,00694032.wav,107137,232,,,,,1,,,,,,,,,,1,,,,,,,,1
C4,alt,00694032_39_00-01-47,00694032.wav,107369,93,,,1,,,,,,1,,,,,,,,,,,,,,1
C4,alt,00694032_40_00-01-47,00694032.wav,107462,116,,,,,,,1,,,,,,1,,,,,,,,,,1
C5,secondary,00694032_38_00-01-47,00694032.wav,107137,232,1,,,,,,,,,,1,,,,,,,,,,,,1
C5,secondary,00694032_39_00-01-47,00694032.wav,107369,93,,,,,1,,,,,,,,,,,,,,,,,,1
C5,secondary,00694032_40_00-01-47,00694032.wav,107462,116,,,1,,,,,,1,,,,,,,,,,,,,,1
C5,secondary,00694032_41_00-01-47,00694032.wav,107648,325,,,,,,,1,,,,,,1,,,,,,,,,,1
C6,alt,00694032_39_00-01-47,00694032.wav,107369,93,1,,,,,,,,,,1,,,,,,,,,,,,1
C6,alt,00694032_40_00-01-47,00694032.wav,107462,116,,,,,1,,,,,,,,,,1,,,,,,,,1
C6,alt,00694032_41_00-01-47,00694032.wav,107648,325,,,1,,,,,,1,,,,,,,,,,,,,,1
C6,alt,00694032_42_00-01-47,00694032.wav,107973,186,,,,,,,1,,,,,,1,,,,,,,,,,1
C7,alt,00694032_40_00-01-47,00694032.wav,107462,116,1,,,,,,,,,,1,,,,,,,,,,,,1
