id,count,speed,options,drumId,drumOptions,active,sum
,4,1,,A1,only=h&volume=0.8,1,4
C1,2,1,,A1,,1,6
C2,1,1,,A1,,1,7
C3,1,1,,B4,,1,8
C5,3,1,,A1,,1,11
C4,2,1,,B5,,1,13
A4,2,1,,A1,drop=1,1,15
C2,2,1,,B1,"drop=3,13,14&volume=1.2",1,17
C6,2,1,,A1,,1,19
C5,1,1,,C1,,1,20
B1,2,1,,B3,,1,22
C7,3,1,,B4,,1,25
C2,2,1,,B5,,1,27
C8,2,1,,B4,,1,29
C5,2,1,,B5,,1,31
C9,2,1,,A1,,1,33
A4,2,1,,A1,"drop=1,9",1,35
C2,2,1,,C2,,1,37
B1,2,1,,B3,,1,39
C1,2,1,,A1,,1,41
C2,2,1,drop=1,A1,,1,43
C3,1,1,,B1,,1,44
C1,2,1,,B2,,1,46
C4,2,1,,A1,,1,48
B6,2,1,,C2,,1,50
C5,2,1,,B4,,1,52
C6,2,1,,B5,,1,54
A4,2,1,,A1,drop=1,1,56
C2,2,1,,A1,,1,58
C7,2,1,,B1,"drop=3,13,14&volume=1.2",1,60
C5,2,1,drop=1,B2,"drop=3,13,14&volume=1.2",1,62
C8,2,1,,A1,,1,64
C2,2,1,,B4,,1,66
C9,2,1,,B5,,1,68
C5,2,1,,A1,,1,70
C10,2,1,,B1,"drop=3,13,14&volume=1.2",1,72
C2,2,1,,B2,"drop=3,13,14&volume=1.2",1,74
C11,1,1,,A1,,1,75
C11,1,1,,C1,,1,76
