filename,start,dur,drumkit,drumkit_id,instrument_key,instrument,priority,auto,manual,power,active
Akai_MPC-X__49crash.wav,0,2265,Akai MPC,mpc,crash,c,999,0,0,7.17,1
Akai_MPC-X__49crash_cg.wav,0,2265,Akai MPC,mpc,crash,cg,999,1,0,2.87,1
Akai_MPC-X__44hat_pedal.wav,0,71,Akai MPC,mpc,hat_pedal,h,999,0,0,4.83,1
Akai_MPC-X__44hat_pedal_ha.wav,0,71,Akai MPC,mpc,hat_pedal,ha,999,1,0,10,1
Akai_MPC-X__42hat_closed.wav,0,90,Akai MPC,mpc,hat_closed,hc,999,0,0,1.95,1
Akai_MPC-X__44hat_pedal_hg.wav,0,71,Akai MPC,mpc,hat_pedal,hg,999,1,0,2.24,1
Akai_MPC-X__46hat_open.wav,0,416,Akai MPC,mpc,hat_open,ho,1,0,0,6.73,1
Akai_MPC-X__52_hat_open.wav,0,634,Akai MPC,mpc,hat_open,ho,999,0,0,2.67,0
Akai_MPC-X__36kick.wav,0,217,Akai MPC,mpc,kick,k,1,0,0,5.42,1
Akai_MPC-X__35kick.wav,0,241,Akai MPC,mpc,kick,k,999,0,0,17.02,0
Akai_MPC-X__36kick_ka.wav,0,217,Akai MPC,mpc,kick,ka,1,1,0,12.98,1
Akai_MPC-X__36kick_kg.wav,0,217,Akai MPC,mpc,kick,kg,1,1,0,2.74,1
Akai_MPC-X__37rimshot.wav,0,279,Akai MPC,mpc,rimshot,r,999,0,0,4.2,1
Akai_MPC-X__37rimshot_ra.wav,0,279,Akai MPC,mpc,rimshot,ra,999,1,0,8.33,1
Akai_MPC-X__37rimshot_rg.wav,0,279,Akai MPC,mpc,rimshot,rg,999,1,0,2.95,1
Akai_MPC-X__60_snare.wav,0,95,Akai MPC,mpc,snare,s,1,0,0,7.44,1
Akai_MPC-X__40snare.wav,0,600,Akai MPC,mpc,snare,s,999,0,0,14.47,0
Akai_MPC-X__38snare.wav,0,391,Akai MPC,mpc,snare,s,999,0,0,6.67,0
Akai_MPC-X__60_snare_sa.wav,0,95,Akai MPC,mpc,snare,sa,1,1,0,14.78,1
Akai_MPC-X__60_snare_sb.wav,0,195,Akai MPC,mpc,snare,sb,1,1,0,3.13,1
Akai_MPC-X__60_snare_sg.wav,0,95,Akai MPC,mpc,snare,sg,1,1,0,2.65,1
Akai_MPC-X__47tom_high.wav,0,500,Akai MPC,mpc,tom_high,t,999,0,0,11.17,1
Akai_MPC-X__47tom_high_ta.wav,0,500,Akai MPC,mpc,tom_high,ta,999,1,0,15.93,1
Akai_MPC-X__47tom_high_tb.wav,0,600,Akai MPC,mpc,tom_high,tb,999,1,0,9.47,1
Akai_MPC-X__45tom_mid.wav,0,500,Akai MPC,mpc,tom_mid,tt,999,0,0,12.24,1
Akai_MPC-X__41tom_low.wav,0,482,Akai MPC,mpc,tom_low,ttt,1,0,0,8.14,1
Akai_MPC-X__43tom_low.wav,0,500,Akai MPC,mpc,tom_low,ttt,999,0,0,8.29,0
Akai_MPC-X__41tom_low_ttta.wav,0,482,Akai MPC,mpc,tom_low,ttta,1,1,0,14.15,1
Akai_MPC-X__59cymbal.wav,0,2358,Akai MPC,mpc,cymbal,y,999,0,0,2.43,1
Akai_MPC-X__59cymbal_ya.wav,0,2358,Akai MPC,mpc,cymbal,ya,999,1,0,5.73,1
Akai_MPC-X__59cymbal_yg.wav,0,2358,Akai MPC,mpc,cymbal,yg,999,1,0,2.44,1
Akai_MPC-X__51ride.wav,0,1499,Akai MPC,mpc,ride,yl,999,0,0,5.22,1
Akai_MPC-X__76woodblock_high.wav,0,135,Akai MPC,mpc,woodblock_high,,999,0,0,6.99,0
Akai_MPC-X__54_stickhit.wav,0,356,Akai MPC,mpc,stickhit,,999,0,0,8.33,0
Akai_MPC-X__77woodblock_low.wav,0,123,Akai MPC,mpc,woodblock_low,,999,0,0,7.26,0
Akai_MPC-X__63conga.wav,0,193,Akai MPC,mpc,conga,,999,0,0,14.69,0
Akai_MPC-X__75_stick.wav,0,116,Akai MPC,mpc,stick,,999,0,0,5.72,0
Akai_MPC-X__39clap.wav,0,401,Akai MPC,mpc,clap,,999,0,0,10.13,0
Emu_Sp12__57crash.wav,0,465,E-mu SP-12,sp12,crash,c,999,0,0,9.36,1
Emu_Sp12__57crash_cg.wav,0,465,E-mu SP-12,sp12,crash,cg,999,1,0,2.62,1
Emu_Sp12__46hat_o_modified_h.wav,0,504,E-mu SP-12,sp12,hat,h,999,0,1,2.7,1
Emu_Sp12__46hat_o_modified_h_ha.wav,0,433,E-mu SP-12,sp12,hat,ha,999,1,1,6.77,1
Emu_Sp12__42_hihat_c.wav,0,358,E-mu SP-12,sp12,hihat_c,hc,999,0,0,2.59,1
Emu_Sp12__46hat_o_modified_h_hg.wav,0,433,E-mu SP-12,sp12,hat,hg,999,1,1,2.7,1
Emu_Sp12__46hat_o.wav,0,684,E-mu SP-12,sp12,hat_o,ho,999,0,0,4.93,1
Emu_Sp12__49modular_kick.wav,0,731,E-mu SP-12,sp12,modular_kick,k,1,0,0,10.21,1
Emu_Sp12__64kick.wav,0,248,E-mu SP-12,sp12,kick,k,2,0,0,10.97,0
Emu_Sp12__35bass1.wav,0,364,E-mu SP-12,sp12,bass1,k,3,0,0,7.7,0
Emu_Sp12__36bass.wav,0,565,E-mu SP-12,sp12,bass,k,4,0,0,4.79,0
Emu_Sp12__49modular_kick_ka.wav,0,731,E-mu SP-12,sp12,modular_kick,ka,1,1,0,17.79,1
Emu_Sp12__49modular_kick_kg.wav,0,731,E-mu SP-12,sp12,modular_kick,kg,1,1,0,2.98,1
Emu_Sp12__37rim.wav,0,304,E-mu SP-12,sp12,rim,r,999,0,0,2.89,1
Emu_Sp12__37rim_ra.wav,0,304,E-mu SP-12,sp12,rim,ra,999,1,0,5.96,1
Emu_Sp12__37rim_rg.wav,0,304,E-mu SP-12,sp12,rim,rg,999,1,0,2.9,1
Emu_Sp12__38snare.wav,0,624,E-mu SP-12,sp12,snare,s,1,0,0,5.3,1
Emu_Sp12__63snare.wav,0,484,E-mu SP-12,sp12,snare,s,2,0,0,8.17,0
Emu_Sp12__65snare3.wav,0,744,E-mu SP-12,sp12,snare3,s,3,0,0,4.53,0
Emu_Sp12__76snare.wav,0,311,E-mu SP-12,sp12,snare,s,4,0,0,10.03,0
Emu_Sp12__62snare.wav,0,618,E-mu SP-12,sp12,snare,s,5,0,0,6.34,0
Emu_Sp12__40esnare_big.wav,0,430,E-mu SP-12,sp12,esnare_big,s,6,0,0,9.09,0
Emu_Sp12__55esnare.wav,0,553,E-mu SP-12,sp12,esnare,s,999,0,0,7.91,0
Emu_Sp12__61snare.wav,0,624,E-mu SP-12,sp12,snare,s,999,0,0,5.3,0
Emu_Sp12__39snare_e.wav,0,376,E-mu SP-12,sp12,snare_e,s,999,0,0,9.72,0
Emu_Sp12__38snare_sa.wav,0,624,E-mu SP-12,sp12,snare,sa,1,1,0,10.61,1
Emu_Sp12__38snare_sb.wav,0,724,E-mu SP-12,sp12,snare,sb,1,1,0,4.66,1
Emu_Sp12__38snare_sg.wav,0,624,E-mu SP-12,sp12,snare,sg,1,1,0,2.93,1
Emu_Sp12__50tom_high.wav,0,389,E-mu SP-12,sp12,tom_high,t,1,0,0,6.12,1
Emu_Sp12__66doomtom.wav,0,401,E-mu SP-12,sp12,doomtom,t,2,0,0,8.99,0
Emu_Sp12__50tom_high_ta.wav,0,389,E-mu SP-12,sp12,tom_high,ta,1,1,0,12.67,1
Emu_Sp12__50tom_high_tb.wav,0,489,E-mu SP-12,sp12,tom_high,tb,1,1,0,4.78,1
Emu_Sp12__43tom.wav,0,496,E-mu SP-12,sp12,tom,tt,1,0,0,9.35,1
Emu_Sp12__45tom_mid.wav,0,660,E-mu SP-12,sp12,tom_mid,tt,999,0,0,8.99,0
Emu_Sp12__41tom_low.wav,0,890,E-mu SP-12,sp12,tom_low,ttt,999,0,0,5.01,1
Emu_Sp12__41tom_low_ttta.wav,0,890,E-mu SP-12,sp12,tom_low,ttta,999,1,0,10.92,1
Emu_Sp12__51modular_flick.wav,0,45,E-mu SP-12,sp12,modular_flick,y,999,0,0,2.91,1
Emu_Sp12__51modular_flick_ya.wav,0,45,E-mu SP-12,sp12,modular_flick,ya,999,1,0,7.41,1
Emu_Sp12__51modular_flick_yg.wav,0,45,E-mu SP-12,sp12,modular_flick,yg,999,1,0,2.91,1
Emu_Sp12__53modular_zip.wav,0,107,E-mu SP-12,sp12,modular_zip,yl,999,0,0,4.05,1
Emu_Sp12__56modular_plonk.wav,0,137,E-mu SP-12,sp12,modular_plonk,,999,0,0,7.06,0
Emu_Sp12__47guitar-hit.wav,0,208,E-mu SP-12,sp12,guitar-hit,,999,0,0,5.21,0
Emu_Sp12__48guitar-riff.wav,0,844,E-mu SP-12,sp12,guitar-riff,,999,0,0,6.28,0
Emu_Sp12__69synbass.wav,0,486,E-mu SP-12,sp12,synbass,,999,0,0,6.95,0
Emu_Sp12__54modular_wobbles.wav,0,1356,E-mu SP-12,sp12,modular_wobbles,,999,0,0,5.72,0
Emu_Sp12__58modular_synslap.wav,0,524,E-mu SP-12,sp12,modular_synslap,,999,0,0,3.22,0
Emu_Sp12__77_zap.wav,0,457,E-mu SP-12,sp12,zap,,999,0,0,8.94,0
Emu_Sp12__71syncord2.wav,0,1642,E-mu SP-12,sp12,syncord2,,999,0,0,7.14,0
Emu_Sp12__72syncord.wav,0,1795,E-mu SP-12,sp12,syncord,,999,0,0,7.15,0
Emu_Sp12__52electro2.wav,0,563,E-mu SP-12,sp12,electro2,,999,0,0,8.3,0
Emu_Sp12__80electric_champagne.wav,0,488,E-mu SP-12,sp12,electric_champagne,,999,0,0,6.7,0
Emu_Sp12__68doink.wav,0,139,E-mu SP-12,sp12,doink,,999,0,0,8.63,0
Emu_Sp12__44pedal_hat.wav,0,329,E-mu SP-12,sp12,pedal_hat,,999,0,0,4.87,0
Emu_Sp12__81_modular_alert.wav,0,1105,E-mu SP-12,sp12,modular_alert,,999,0,0,9.31,0
Emu_Sp12__67clank.wav,0,197,E-mu SP-12,sp12,clank,,999,0,0,5.85,0
Linn_LM1__52china.wav,0,1365,Linn LM-1,lm1,china,c,999,0,0,7.51,1
Linn_LM1__52china_cg.wav,0,1365,Linn LM-1,lm1,china,cg,999,1,0,2.82,1
Linn_LM1__46hat_open_modified_h.wav,0,552,Linn LM-1,lm1,hat,h,999,0,1,2.78,1
Linn_LM1__46hat_open_modified_h_ha.wav,0,484,Linn LM-1,lm1,hat,ha,999,1,1,6.94,1
Linn_LM1__46hat_open_modified_hc.wav,0,312,Linn LM-1,lm1,hat_closed,hc,999,0,1,2.62,1
Linn_LM1__46hat_open_modified_h_hg.wav,0,484,Linn LM-1,lm1,hat,hg,999,1,1,2.42,1
Linn_LM1__46hat_open.wav,0,682,Linn LM-1,lm1,hat_open,ho,999,0,0,5.98,1
Linn_LM1__35kick.wav,0,170,Linn LM-1,lm1,kick,k,1,0,0,8.63,1
Linn_LM1__36kick.wav,0,170,Linn LM-1,lm1,kick,k,999,0,0,11.37,0
Linn_LM1__35kick_ka.wav,0,170,Linn LM-1,lm1,kick,ka,1,1,0,16.18,1
Linn_LM1__35kick_kg.wav,0,170,Linn LM-1,lm1,kick,kg,1,1,0,2.93,1
Linn_LM1__37rimshot.wav,0,170,Linn LM-1,lm1,rimshot,r,999,0,0,4.73,1
Linn_LM1__37rimshot_ra.wav,0,170,Linn LM-1,lm1,rimshot,ra,999,1,0,10.88,1
Linn_LM1__37rimshot_rg.wav,0,170,Linn LM-1,lm1,rimshot,rg,999,1,0,3.12,1
