id,sort,artist,title,label,year,category,bpm,bar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2kfA1,95,Carleen and the Groovers,Can We Rap,2000s funk pattern A,2004,11,117,1,"k,y",,k3,k,sa,,y,sb,"k,y",,k3,k,sa,,y,s
2kfA2,96,Carleen and the Groovers,Can We Rap,2000s funk pattern A,2004,11,117,2,"k,y",,y,,"sa,h",,y,s,"k,y",s,"k,y",k,"sa,y",,y,sb
2kfA3,97,Carleen and the Groovers,Can We Rap,2000s funk pattern A,2004,11,117,3,"k,y",,k3,k,sa,,y,sb,"k,y",,"k,y",,"sa,y",,y,sb
2kfA4,98,Carleen and the Groovers,Can We Rap,2000s funk pattern A,2004,11,117,4,"k,y",s,,y,sa,"k,y",s,s,"k,y",s,"k,yl","k,yl",sa,"k,yl",s,s
2khA1,9,The Roots,Don't Say Nuthin,2000s hip hop pattern A,2004,2,99,1,"k,h",,h,,"sa,h",,h,,h,,"k,h",,"sa,h",k,h,
2khA2,10,The Roots,Don't Say Nuthin,2000s hip hop pattern A,2004,2,99,2,"k,h",,h,,"sa,h",,h,,h,,h,,"sa,h",k,h,
2khB1,66,The Roots,75 Bars,2000s hip hop pattern B,2008,6,108,1,"k,hc",,"k,h",,"sa,ho",,,s,"k,hc",,"k,h",,"sa,ho",,,s
2khB2,67,The Roots,75 Bars,2000s hip hop pattern B,2008,6,108,2,"k,h",,"k,h",,"s,h",,"sa,h",,"k,hc",s,k,,"sa,h",,hc,s
2ksA1,31,Sharon Jones and the Dap Kings,Ain't It Hard,2000s soul pattern A,2002,3,113,1,"k,h",,h,,"sa,h",,h,,"sa,h",,"k,h",,"h,r",,"sa,h",sg
2ksA2,32,Sharon Jones and the Dap Kings,Ain't It Hard,2000s soul pattern A,2002,3,113,2,h,sg,"k,h",sg,"sa,h",sg,"k,h",sg,h,sg,"k,h",,"sa,h",sg,"k,h",sg
2ksA3,33,Sharon Jones and the Dap Kings,Ain't It Hard,2000s soul pattern A,2002,3,113,3,"k,h",,"k,h",,"sa,h",,h,sa,h,s,"k,h",,"sa,h",,h,
2ksA4,34,Sharon Jones and the Dap Kings,Ain't It Hard,2000s soul pattern A,2002,3,113,4,"k,c",,,,"k,c",,,,c,,s,s,t,t,ttt,ttt
60fA1,1,Marva Whitney,Unwind Yourself,60s funk pattern A,1969,1,126,1,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"k,h",
60fA2,2,Marva Whitney,Unwind Yourself,60s funk pattern A,1969,1,126,2,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"k,h",
60fA3,3,Marva Whitney,Unwind Yourself,60s funk pattern A,1969,1,126,3,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"kg,h",
60fA4,4,Marva Whitney,Unwind Yourself,60s funk pattern A,1969,1,126,4,"ka,h",,h,,"sa,h",,h,sg,h,sg,"k,h",,"sa,h",,"k,h",
60fB1,35,James Brown,Mother Popcorn,60s funk pattern B,1969,3,117,1,"k,h",,k,,"sa,h",,,,h,sg,k,,h,,sa,
60fB2,36,James Brown,Mother Popcorn,60s funk pattern B,1969,3,117,2,h,sg,k,sg,h,sg,k,sg,"k,h",sa,k,sg,"sa,h",sg,k,sg
