filepath,instrument,source,note,octave
FatBoy/accordion-mp3/A0.mp3,accordion,FatBoy,A,0
FatBoy/accordion-mp3/A1.mp3,accordion,FatBoy,A,1
FatBoy/accordion-mp3/A2.mp3,accordion,FatBoy,A,2
FatBoy/accordion-mp3/A3.mp3,accordion,FatBoy,A,3
FatBoy/accordion-mp3/A4.mp3,accordion,FatBoy,A,4
FatBoy/accordion-mp3/A5.mp3,accordion,FatBoy,A,5
FatBoy/accordion-mp3/A6.mp3,accordion,FatBoy,A,6
FatBoy/accordion-mp3/A7.mp3,accordion,FatBoy,A,7
FatBoy/accordion-mp3/Ab1.mp3,accordion,FatBoy,Ab,1
FatBoy/accordion-mp3/Ab2.mp3,accordion,FatBoy,Ab,2
FatBoy/accordion-mp3/Ab3.mp3,accordion,FatBoy,Ab,3
FatBoy/accordion-mp3/Ab4.mp3,accordion,FatBoy,Ab,4
FatBoy/accordion-mp3/Ab5.mp3,accordion,FatBoy,Ab,5
FatBoy/accordion-mp3/Ab6.mp3,accordion,FatBoy,Ab,6
FatBoy/accordion-mp3/Ab7.mp3,accordion,FatBoy,Ab,7
FatBoy/accordion-mp3/B0.mp3,accordion,FatBoy,B,0
FatBoy/accordion-mp3/B1.mp3,accordion,FatBoy,B,1
FatBoy/accordion-mp3/B2.mp3,accordion,FatBoy,B,2
FatBoy/accordion-mp3/B3.mp3,accordion,FatBoy,B,3
FatBoy/accordion-mp3/B4.mp3,accordion,FatBoy,B,4
FatBoy/accordion-mp3/B5.mp3,accordion,FatBoy,B,5
FatBoy/accordion-mp3/B6.mp3,accordion,FatBoy,B,6
FatBoy/accordion-mp3/B7.mp3,accordion,FatBoy,B,7
FatBoy/accordion-mp3/Bb0.mp3,accordion,FatBoy,Bb,0
FatBoy/accordion-mp3/Bb1.mp3,accordion,FatBoy,Bb,1
FatBoy/accordion-mp3/Bb2.mp3,accordion,FatBoy,Bb,2
FatBoy/accordion-mp3/Bb3.mp3,accordion,FatBoy,Bb,3
FatBoy/accordion-mp3/Bb4.mp3,accordion,FatBoy,Bb,4
FatBoy/accordion-mp3/Bb5.mp3,accordion,FatBoy,Bb,5
