collection,col,power
pierrevallee,0,0.3
pierrevallee,1,0.31
pierrevallee,2,0.28
pierrevallee,3,0.24993869989783316
pierrevallee,4,0.31
pierrevallee,5,0.32
pierrevallee,6,0.1796934161556936
pierrevallee,7,0.27
pierrevallee,8,0.17
pierrevallee,9,0.3276837461395769
pierrevallee,10,1.63
pierrevallee,11,0.13
pierrevallee,12,0.04
pierrevallee,13,0.17
pierrevallee,14,0.14
pierrevallee,15,0.2795380492300821
pierrevallee,16,0.3
pierrevallee,17,0.28
pierrevallee,18,0.299261398768998
pierrevallee,19,0.39
pierrevallee,20,0.27
pierrevallee,21,0.24043063405105672
pierrevallee,22,0.13
pierrevallee,23,0.06
pierrevallee,24,0.010000000000000002
pierrevallee,25,0.04
pierrevallee,26,0.0
pierrevallee,27,0.0
pierrevallee,28,0.0
pierrevallee,29,0.0
pierrevallee,30,0.0
pierrevallee,31,0.0
pierrevallee,32,0.0
pierrevallee,33,0.0
pierrevallee,34,0.0
pierrevallee,35,0.01
pierrevallee,36,0.00962868271447119
pierrevallee,37,0.01
pierrevallee,38,0.13
pierrevallee,39,0.0808053346755578
pierrevallee,40,0.04
pierrevallee,41,0.18
pierrevallee,42,0.15
pierrevallee,43,0.14
pierrevallee,44,0.2
pierrevallee,45,0.12139600232667054
pierrevallee,46,0.26
pierrevallee,47,0.05
pierrevallee,48,0.010496667494445824
pierrevallee,49,0.01
pierrevallee,50,0.0
pierrevallee,51,0.009471999119998534
pierrevallee,52,0.01
pierrevallee,53,0.01
pierrevallee,54,0.010000000000000002
pierrevallee,55,0.01
pierrevallee,56,0.03
pierrevallee,57,0.02
pierrevallee,58,0.01
pierrevallee,59,0.04
pierrevallee,60,0.029999999999999995
pierrevallee,61,0.03
pierrevallee,62,0.04
pierrevallee,63,0.02
pierrevallee,64,0.02
pierrevallee,65,0.01
pierrevallee,66,0.01931533219222032
pierrevallee,67,0.02
pierrevallee,68,0.01
pierrevallee,69,0.01928399880666468
pierrevallee,70,0.02
pierrevallee,71,0.01
pierrevallee,72,0.12925266542110903
pierrevallee,73,0.22
pierrevallee,74,0.1
pierrevallee,75,0.13610666017776699
pierrevallee,76,0.25
pierrevallee,77,0.1
pierrevallee,78,0.45435994059990104
pierrevallee,79,0.25
pierrevallee,80,0.15
pierrevallee,81,0.15673067788446313
pierrevallee,82,0.47
pierrevallee,83,0.17
pierrevallee,84,0.08523600872668122
pierrevallee,85,0.18
pierrevallee,86,0.17
pierrevallee,87,0.14367198945331575
pierrevallee,88,0.4
pierrevallee,89,0.13
pierrevallee,90,0.12626132710221183
pierrevallee,91,0.16
pierrevallee,92,0.12
pierrevallee,93,0.13579200965334942
pierrevallee,94,0.28
pierrevallee,95,0.31
pierrevallee,96,0.16697201162001937
pierrevallee,97,0.18
pierrevallee,98,0.24
pierrevallee,99,0.2012933521555869
pierrevallee,100,0.17
pierrevallee,101,0.17
pierrevallee,102,0.19000000000000003
pierrevallee,103,0.16
pierrevallee,104,0.1
pierrevallee,105,0.2991199818666364
pierrevallee,106,0.16
pierrevallee,107,0.13
pierrevallee,108,0.14664399440665732
pierrevallee,109,0.12
pierrevallee,110,0.28
pierrevallee,111,0.22229867049778418
pierrevallee,112,0.11
pierrevallee,113,0.03
pierrevallee,114,0.028819998033330057
pierrevallee,115,0.02
pierrevallee,116,0.03
