date,description,identifier,item_size,publicdate,subject,title,collection,licenseurl,filename,hh0,mm0,ss0,hh1,mm1,ss1,start,end
2007-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Rumi Nagashima, a college student and girl scout troop leader from Tokyo, Japan. She was 22 years old at the time of the shoot. Rumi Nagashima was born in 1984 in Higashi-Koganei, a suburb of Tokyo, Japan. At the time of the Global Lives Project shoot, she was about to graduate from Atomi University with a degree in Management Studies, and had a job lined-up with Fujitsu as a systems engineer. Due to an accident in 2005, she lost the use of her right leg. Although Rumi can walk, she still uses a wheelchair to travel long distances. She has served as a Girl Scout mentor and has also lobbied towards the development of barrier-free cities that increase accessibility for the physically challenged. This video was produced by Irene Herrera, Ron Carr, Andreina Lairet, Nobuhiro Awata, Helio Ishii, Claudianna Blanco, Kiyomi Nakai, Wakako Iguchi, Mariko Nagaba, Chieko Kato, Erika Aragon, Simone Goldsmith, Mike Olsen, Jon Jameson, Sakura Ono, Samson Yee, Tiffany Wang, Yumi Garcia, and Dos Santos. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Rumi_Nagashima_2007_jp_Tokyo_JP-13_184248-184733,3093818283,2012-07-19T16:47:21Z,"Tokyo,Japan,disabled,globallivesproject,Global Lives Project,glp,globallives","Rumi Nagashima - Tokyo, Tokyo, Japan - Japanese (Global Lives Project, 2007) ~18:42:48 - 18:47:33",ruminagashima,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Rumi_Nagashima_2007_jp_Tokyo_JP-13~184248-184733.mp4,18,42,48,18,47,33,67368,67653
2008-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Dadah, a farmer from Sarimukti Village, Indonesia. She was 32 years old at the time of the shoot. Dadah is a mother of three from Sarimukti, a Sundanese village in the highlands of West Java. She and her husband are farm workers on a state-owned plantation that dates back to Dutch colonial days. They are practicing Muslims and active members of the Pasundan Farmers' Union, which lobbies for both land re-distribution among farmers and children's education. This video was produced by Khairani Barokka, Endah Wahyu Sulistianti, Rian Suryalibrata, Truly Hitosoro, Antonius Riva, Setiawan, Ratih Prebatasari, Yuslam Fikri Ansari, Edsa M. Hashmi, Wawan Gunawan, Hendro Sangkoyo, Edi, Yogi, Bani, Dasaat, Iwan Setiawan, Lexy Rambadeta, and Vina. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Dadah_2008_sun_Sarimukti_Village_ID-JK_142734-144234,3655854469,2012-07-19T22:25:46Z,"Sarimukti Village,Jakarta,Indonesia,globallivesproject,Global Lives Project,glp,globallives","Dadah - Sarimukti Village, Jakarta, Indonesia - Sundanese (Global Lives Project, 2008) ~14:27:34 - 14:42:34",dadah,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Dadah_2008_sun_Sarimukti_Village_ID-JK~142734-144234.mp4,14,27,34,14,42,34,52054,52954
2013-01-01T00:00:00Z,"It stops snowing briefly and Mingmar finds more catepillar fungus. He refreshes with a drink. This is part of a 24-hour recording of a day in the life of Mingmar Lama. This video was produced by Rinzin Lama, Andrew Mahlstedt, Dawa Yakpa, Yog Shakya, Tenzin Norbu, Ravi Shrestha, Karma Ghale, Santa Bahadur Tamang, Arjun Magar, Tenzin Norbu, Thepe Tamang, Maila Tamang, Santosh, Jit Bahadur Gurung, and Kancha Tamang. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-140000-142959,4865958604,2013-10-30T20:23:45Z,"Gorkha,Tsum Valley,Nepali,Tibetan,Tsum,yartsa gumbu,globallivesproject,Global Lives Project,glp,globallives","Mingmar Lama - Tsum Valley, Nepal - Nepali (Global Lives Project, 2013) 14:00:00 - 14:29:59",mingmarlama,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Mingmar_Lama_2013_nep_Tsum_Valley_NP-GA-140000-142959.mp4,14,0,0,14,29,59,50400,52199
2009-01-01T00:00:00Z,"In this clip, Jamila is at home. This is part of a 24-hour recording of a day in the life of Jamila Jad, an elementary school student from Beirut, Lebanon. She was 9 years old at the time of the shoot. Born from a Lebanese mother and a Palestinian father, Jamila Jad inherited the nationality of her father. She is one of 400,000 officially registered Palestinian refugees in Lebanon. Jamila was born and raised in Shatila refugee camp in Beirut, where she attends public school and dreams of becoming a doctor. The oldest of four children, Jamila shoulders many responsibilities at home. Her father has been fighting Hepatitis C, and her mother works a cleaning job to keep the family afloat. This video was produced by Ron Carr, Irene Herrera, Lindee Hoshikawa, Chahid Akhoury, Lucie Kroening, Kassem Aina, Simone Goldsmith, and Zohour Akkawi. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Jamila_Jad_2009_ara_Beirut_LB-BA_195800-201301,3152174253,2012-07-19T17:37:40Z,"Beirut,Lebanon,school,islam,globallivesproject,Global Lives Project,glp,globallives","Jamila Jad - Beirut, Beirut, Lebanon - Arabic (Global Lives Project, 2009) ~19:58:00 - 20:13:01",jamilajad,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Jamila_Jad_2009_ara_Beirut_LB-BA~195800-201301.mp4,19,58,0,20,13,1,71880,72781
2007-01-01T00:00:00Z,"In this clip, light breaks in Ngwale. Edith and Memory are down at the stream doing dishes and chatting. They discuss a mysterious dog, what awaits them at school, and and an accusation about little farts. Memory notices the way flowers fall from a tall tree, and she wants to climb it. They return home after doing the dishes and Edith and Memory are sent to the well for more water by their mother. Memory asks her sister about a lurking owl. This is part of a 24-hour recording of a day in the life of Edith Kaphuka, a student from Ngwale Village, Zomba District, Malawi. She was 13 years old at the time of the shoot. Edith Kaphuka was a 13-year-old student at Domasi Mission Primary School in Zomba District, Malawi during her Global Lives Project shoot in 2007. The oldest of four girls, Edith has many responsibilities at her home in Ngwale Village, such as fetching water, cleaning the dishes, and gardening. Her little sister, Memory, is her best friend; when the two are together, they are nearly inseparable. While Edith and her family are Yao, they more readily speak Chichewa, Malawi's national language. This video was produced by Jason Price, Ya-Hsuan Huang, Elasto Chanza, Jessie Levandov, Harrson Topp, Single Limodze, Blackwell Lungu, Z. Allan Ntata, Villant Ndasowa, Jos Garric, Arnold Mboga, Tom Likambale, Catherine Makhumula, Jessie Kabwila Kapasula, Allan Z. Nkata, and Dr. Sam Mchombo. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Edith_Kaphuka_2007_nya_Ngwale_Village_MW-ZO_051542-053043,2586623734,2012-07-19T20:50:43Z,"Ngwale Village,Malawi,student,globallivesproject,Global Lives Project,glp,globallives","Edith Kaphuka - Ngwale Village, Zomba, Malawi - Nyanja (Global Lives Project, 2007) ~05:15:42 - 05:30:43",edithkaphuka,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Edith_Kaphuka_2007_nya_Ngwale_Village_MW-ZO~051542-053043.mp4,5,15,42,5,30,43,18942,19843
2009-01-01T00:00:00Z,"In this clip, Muttu and Satya walk towards the hill top which is the sunset point. Muttu explains the history to Satya. This is part of a 24-hour recording of a day in the life of Muttu Kumar, a postcard seller and tour guide from Hampi, India. He was 18 years old at the time of the shoot. Despite leaving school at age twelve due to financial constraints, Muttu Kumar speaks Hindi, Kannada, English, and a fair bit of French. These skills are central to his work as a tour guide and postcard salesman in Hampi, India where the architectural achievements of the Vijaynagar Empire have been declared a UNESCO World Heritage Site. He works to support himself and his family, who live in a village two miles from the town. This video was produced by Srikumar Venkatraman, Ruhie Kumar, Deepa Bhat, Meghna Madhusudan, Rahul V. Chittella, Vishal Gupta, Akash Mohimen, Omkar Parab, Abhishek, Zainab Burmawala, Brijesh Matalia, Nagyaraj, Bassappa, and Meera Sankar. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Muttu_Kumar_2009_kan_Hampi_IN-KA_171929-173433,3722861723,2012-07-19T22:02:14Z,"Hampi,Karnataka,India,globallivesproject,Global Lives Project,glp,globallives","Muttu Kumar - Hampi, Karnataka, India - Kannada (Global Lives Project, 2009) ~17:19:29 - 17:34:33",muttukumar,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Muttu_Kumar_2009_kan_Hampi_IN-KA~171929-173433.mp4,17,19,29,17,34,33,62369,63273
2007-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Rumi Nagashima, a college student and girl scout troop leader from Tokyo, Japan. She was 22 years old at the time of the shoot. Rumi Nagashima was born in 1984 in Higashi-Koganei, a suburb of Tokyo, Japan. At the time of the Global Lives Project shoot, she was about to graduate from Atomi University with a degree in Management Studies, and had a job lined-up with Fujitsu as a systems engineer. Due to an accident in 2005, she lost the use of her right leg. Although Rumi can walk, she still uses a wheelchair to travel long distances. She has served as a Girl Scout mentor and has also lobbied towards the development of barrier-free cities that increase accessibility for the physically challenged. This video was produced by Irene Herrera, Ron Carr, Andreina Lairet, Nobuhiro Awata, Helio Ishii, Claudianna Blanco, Kiyomi Nakai, Wakako Iguchi, Mariko Nagaba, Chieko Kato, Erika Aragon, Simone Goldsmith, Mike Olsen, Jon Jameson, Sakura Ono, Samson Yee, Tiffany Wang, Yumi Garcia, and Dos Santos. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Rumi_Nagashima_2007_jp_Tokyo_JP-13_131231-132733,3155158960,2012-07-19T22:21:56Z,"Tokyo,Japan,disabled,globallivesproject,Global Lives Project,glp,globallives","Rumi Nagashima - Tokyo, Tokyo, Japan - Japanese (Global Lives Project, 2007) ~13:12:31 - 13:27:33",ruminagashima,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Rumi_Nagashima_2007_jp_Tokyo_JP-13~131231-132733.mp4,13,12,31,13,27,33,47551,48453
2013-01-01T00:00:00Z,"Seunghwan sleeps. This is part of a 24-hour recording of a day in the life of Seunghwan Seo. This video was produced by Sam Queen, Rachel Gist, Jee Young Lee, Michael Stulberg, Marisol Park, Nayoung Jung, Joel Elliott, and Cole Quinlan. This video is part of the Global Lives Project, a video library of life experience. For more information please visit globallives.org .",globallivesproject_Seunghwan_Seo_2013_kor_Seoul_KR-11-120000-122959,25898826996,2013-10-31T23:24:00Z,"Korea,Seoul,Gangnam,Yangjae,apartment,bed,family,sleep,globallivesproject,Global Lives Project,glp,globallives","Seunghwan Seo - Seoul, Korea - Korean (Global Lives Project, 2013) 12:00:00 - 12:29:59",seunghwanseo,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Seunghwan_Seo_2013_kor_Seoul_KR-11-120000-122959.mp4,12,0,0,12,29,59,43200,44999
2013-01-01T00:00:00Z,"Basak sleeps.,This is part of a 24-hour recording of a day in the life of Basak Taner, a pharmaceutical delivery person in Istanbul, Turkey. Produced by Mutlu Vrysopoulos, Onur Aldogan, Huseyin Kok, Orhan Caliskan, Mert Aldogan, Semih Gur, Suphi Uzun and Muhammed Genc, this video is part of the Global Lives Project, a video library of life experience.,For more information visit globallives.org.",globallivesproject_Basak_Taner_2013_tur_Istanbul_TR-34-033000-035959,4726718283,2014-08-19T06:04:51Z,"Istanbul, sleep,globallivesproject,Global Lives Project,glp,globallives","Basak Taner - Istanbul, Turkey - Turkish (Global Lives Project, 2013) - 033000-035959",basaktaner,http://creativecommons.org/licenses/by/3.0/,globallivesproject_Basak_Taner_2013_tur_Istanbul_TR-34-033000-035959.mp4,3,30,0,3,59,59,12600,14399
2009-01-01T00:00:00Z,"This is part of a 24-hour recording of a day in the life of Dusan Lazic, a beekeeper and retired engineer from Vojka, Serbia. He was 57 years old at the time of the shoot. Dusan Lazic turned to beekeeping in 2004 after having difficulty finding work as an engineer. He lives in Vojka, Serbia. Born in 1942, he has experienced firsthand many of the tumultuous events that have shaped modern East European history, including the rise and fall of communism, the Yugoslav wars, and Serbian independence. In the evenings, Dusan sings and plays percussion with his friends in a pop-rock cover band called Time Machine. This video was produced by Robert Eagle, Marko Popovic, Juliane Bittencourt, Stefan Ivanovic, David Szepesi, Dragan Petrovic, Hes Mundt, Srdjan Srdjanov, Zeljko Drazovic, Ana Lakčevic, Stewart Weir, Emile Holba, and Max Kesberger. This video is part of the Global Lives Project, a video library of life experience. For more information see globallives.org.",globallivesproject_Dusan_Lazic_2009_srp_Vojka_RS-14_194516-202135,8052147375,2012-07-19T22:15:01Z,"Vojka,Srem District,Serbia,beekeeping,globallivesproject,Global Lives Project,glp,globallives","Dusan Lazic - Vojka, Srem District, Serbia - Serbian (Global Lives Project, 2009) ~19:45:16 - 20:21:35",dusanlazic,http://creativecommons.org/licenses/by-nc-sa/3.0/,globallivesproject_Dusan_Lazic_2009_srp_Vojka_RS-14~194516-202135.mp4,19,45,16,20,21,35,71116,73295
