wp_identifier,archive_id,embed_url,sponsors,sponsor_types,subjects,candidates,type,race,cycle,message,air_count,reference_count,market_count,transcript,date_ingested
8403,PolAd_CatherineCortezMasto_jbah8,https://archive.org/embed/PolAd_CatherineCortezMasto_jbah8,"Catherine Cortez Masto for Senate","Candidate Committee","Candidate Biography, Bipartisanship, Criminal Justice, Drugs","Catherine Cortez Masto",campaign,NVS2,2016,pro,185,0,1,,"2016/11/17 5:03:54 UTC"
8404,PolAd_DonaldTrump_kc0en,https://archive.org/embed/PolAd_DonaldTrump_kc0en,"Hillary for America",Multiple,"Nuclear, Candidate Biography, Military, Foreign Policy","Donald Trump",campaign,PRES,2016,con,139,0,1,,"2016/11/17 5:02:52 UTC"
8358,PolAd_DonaldTrump_ncck5,https://archive.org/embed/PolAd_DonaldTrump_ncck5,"Hillary for America",Multiple,"Bankruptcy, Candidate Biography, Workers","Donald Trump",campaign,PRES,2016,con,195,0,2,,"2016/11/14 10:44:42 UTC"
8359,PolAd_Guns_gv0de,https://archive.org/embed/PolAd_Guns_gv0de,"National Rifle Assn",PAC,Guns,,campaign,,,unknown,87,0,3,,"2016/11/14 10:44:15 UTC"
8361,PolAd_Guns_Veterans_Military_z2bvd,https://archive.org/embed/PolAd_Guns_Veterans_Military_z2bvd,"National Rifle Assn",PAC,"Guns, Veterans, Military",,campaign,,,unknown,54,0,3,,"2016/11/14 10:43:51 UTC"
8364,PolAd_RussFeingold_ey28u,https://archive.org/embed/PolAd_RussFeingold_ey28u,"Russ For Wisconsin","Candidate Committee","Medicare, Jobs, Trade","Russ Feingold",campaign,WIS2,2016,unknown,276,0,1,,"2016/11/14 10:43:27 UTC"
8360,PolAd_Crime_Guns_dq6pg,https://archive.org/embed/PolAd_Crime_Guns_dq6pg,"National Rifle Assn",PAC,"Crime, Guns",,campaign,,,unknown,69,0,2,,"2016/11/14 10:42:46 UTC"
8303,PolAd_JohnMccain_005nx,https://archive.org/embed/PolAd_JohnMccain_005nx,"Friends of John McCain","Candidate Committee","Campaign Finance, Military, Ethics, Federal Budget, Lobbying","John McCain",campaign,AZS1,2016,pro,14,0,1,,"2016/11/11 1:53:06 UTC"
8214,PolAd_Iran_Nuclear_ForeignPolicy_xl32g,https://archive.org/embed/PolAd_Iran_Nuclear_ForeignPolicy_xl32g,"45 Committee","Non Profit","Iran, Nuclear, Foreign Policy, Terrorism, Iraq",,campaign,,,unknown,259,0,2,,"2016/11/10 3:14:40 UTC"
8248,PolAd_HillaryClinton_ia316,https://archive.org/embed/PolAd_HillaryClinton_ia316,"America Rising PAC","Super PAC",,"Hillary Clinton",campaign,PRES,2016,con,58,0,10,"And here in Washington, we know distraction. Can you comment on the specific allegations though? Nick. Nick. Nick. Nick is. Nick is the man. I'm sorry. Nick is the man. I gotta let Nick do what he does here. That's his job, so ok guys. Would you like to see more participate in more? I'm not going to get into scheduling. I'm just going to show up when I'm told to show up. I'll be there looking forward to it. Will you sign this please? If you go to the. Go to the end of the line. Why don't you go to the end of the line? Yeah, we'll take care of you.","2016/11/10 3:13:54 UTC"
